Date, Open , High , Low , Close , Adj Close ,Volume
01/02/2020," 17,131.60 "," 17,164.60 "," 17,043.50 "," 17,100.00 "," 17,100.00 ",156213500
01/03/2020," 17,054.80 "," 17,105.70 "," 17,033.20 "," 17,066.10 "," 17,066.10 ",185492100
01/06/2020," 17,042.30 "," 17,105.50 "," 17,041.20 "," 17,105.50 "," 17,105.50 ",195351800
01/07/2020," 17,119.60 "," 17,178.00 "," 17,110.30 "," 17,168.10 "," 17,168.10 ",171935800
01/08/2020," 17,172.70 "," 17,229.90 "," 17,164.60 "," 17,167.80 "," 17,167.80 ",246980100
01/09/2020," 17,205.90 "," 17,255.50 "," 17,201.30 "," 17,235.60 "," 17,235.60 ",222501200
01/10/2020," 17,223.20 "," 17,254.10 "," 17,187.20 "," 17,234.50 "," 17,234.50 ",192514100
01/13/2020," 17,237.60 "," 17,301.80 "," 17,198.90 "," 17,293.40 "," 17,293.40 ",268086800
01/14/2020," 17,288.60 "," 17,356.50 "," 17,281.30 "," 17,352.90 "," 17,352.90 ",235495600
01/15/2020," 17,364.80 "," 17,421.70 "," 17,345.10 "," 17,415.20 "," 17,415.20 ",207645200
01/16/2020," 17,443.50 "," 17,489.60 "," 17,438.50 "," 17,484.80 "," 17,484.80 ",261420600
01/17/2020," 17,507.70 "," 17,572.20 "," 17,502.40 "," 17,559.00 "," 17,559.00 ",224673300
01/20/2020," 17,548.10 "," 17,620.20 "," 17,538.40 "," 17,597.40 "," 17,597.40 ",111821100
01/21/2020," 17,551.50 "," 17,589.50 "," 17,536.30 "," 17,572.30 "," 17,572.30 ",241563100
01/22/2020," 17,570.30 "," 17,666.50 "," 17,558.00 "," 17,599.90 "," 17,599.90 ",213329700
01/23/2020," 17,564.80 "," 17,621.80 "," 17,540.80 "," 17,621.80 "," 17,621.80 ",330914300
01/24/2020," 17,629.40 "," 17,646.40 "," 17,514.70 "," 17,565.30 "," 17,565.30 ",193689100
01/27/2020," 17,376.80 "," 17,466.10 "," 17,360.00 "," 17,442.50 "," 17,442.50 ",203774000
01/28/2020," 17,475.00 "," 17,519.00 "," 17,456.10 "," 17,500.90 "," 17,500.90 ",198139800
01/29/2020," 17,547.50 "," 17,561.90 "," 17,496.70 "," 17,511.80 "," 17,511.80 ",169412800
01/30/2020," 17,429.60 "," 17,502.90 "," 17,395.90 "," 17,490.60 "," 17,490.60 ",191070300
01/31/2020," 17,442.30 "," 17,450.70 "," 17,272.70 "," 17,318.50 "," 17,318.50 ",239157000
02/03/2020," 17,351.00 "," 17,441.60 "," 17,351.00 "," 17,379.80 "," 17,379.80 ",196331500
02/04/2020," 17,504.60 "," 17,548.80 "," 17,493.80 "," 17,512.70 "," 17,512.70 ",235045300
02/05/2020," 17,629.40 "," 17,674.00 "," 17,606.10 "," 17,651.60 "," 17,651.60 ",223399700
02/06/2020," 17,686.10 "," 17,758.50 "," 17,670.60 "," 17,757.50 "," 17,757.50 ",199327500
02/07/2020," 17,705.40 "," 17,716.70 "," 17,633.00 "," 17,655.50 "," 17,655.50 ",209827800
02/10/2020," 17,646.60 "," 17,743.60 "," 17,646.60 "," 17,740.60 "," 17,740.60 ",210735600
02/11/2020," 17,783.60 "," 17,822.20 "," 17,769.30 "," 17,777.10 "," 17,777.10 ",199302100
02/12/2020," 17,873.10 "," 17,873.10 "," 17,812.00 "," 17,832.90 "," 17,832.90 ",246203500
02/13/2020," 17,764.10 "," 17,829.20 "," 17,750.80 "," 17,821.20 "," 17,821.20 ",255696600
02/14/2020," 17,811.30 "," 17,848.50 "," 17,798.60 "," 17,848.40 "," 17,848.40 ",222706800
02/18/2020," 17,818.90 "," 17,871.30 "," 17,812.50 "," 17,858.30 "," 17,858.30 ",294361000
02/19/2020," 17,887.60 "," 17,933.20 "," 17,851.30 "," 17,925.40 "," 17,925.40 ",215953000
02/20/2020," 17,911.60 "," 17,970.50 "," 17,860.60 "," 17,944.10 "," 17,944.10 ",248798000
02/21/2020," 17,936.50 "," 17,949.80 "," 17,833.10 "," 17,843.50 "," 17,843.50 ",271260900
02/24/2020," 17,608.90 "," 17,608.90 "," 17,463.10 "," 17,562.70 "," 17,562.70 ",310120500
02/25/2020," 17,560.50 "," 17,586.80 "," 17,124.90 "," 17,177.40 "," 17,177.40 ",303245600
02/26/2020," 17,140.90 "," 17,304.60 "," 17,029.90 "," 17,041.90 "," 17,041.90 ",303632000
02/27/2020," 16,803.40 "," 16,816.20 "," 16,456.80 "," 16,717.40 "," 16,717.40 ",232685900
02/28/2020," 16,184.40 "," 16,276.90 "," 15,896.40 "," 16,263.10 "," 16,263.10 ",590219300
03/02/2020," 16,325.00 "," 16,566.70 "," 16,166.30 "," 16,553.30 "," 16,553.30 ",374721500
03/03/2020," 16,674.90 "," 16,798.20 "," 16,378.30 "," 16,423.60 "," 16,423.60 ",393127900
03/04/2020," 16,659.90 "," 16,779.50 "," 16,539.40 "," 16,779.50 "," 16,779.50 ",273718600
03/05/2020," 16,541.60 "," 16,684.90 "," 16,456.70 "," 16,554.00 "," 16,554.00 ",313012300
03/06/2020," 16,222.10 "," 16,261.50 "," 16,015.80 "," 16,175.00 "," 16,175.00 ",374703800
03/09/2020," 15,221.80 "," 15,240.30 "," 14,498.30 "," 14,514.20 "," 14,514.20 ",559227400
03/10/2020," 15,019.00 "," 15,048.80 "," 14,481.90 "," 14,958.10 "," 14,958.10 ",571001300
03/11/2020," 14,639.70 "," 14,714.20 "," 14,185.20 "," 14,270.10 "," 14,270.10 ",468990900
03/12/2020," 13,611.80 "," 13,611.80 "," 12,451.10 "," 12,508.50 "," 12,508.50 ",678332900
03/13/2020," 13,161.60 "," 13,716.30 "," 12,608.30 "," 13,716.30 "," 13,716.30 ",669328700
03/16/2020," 12,648.70 "," 12,851.70 "," 11,883.70 "," 12,360.40 "," 12,360.40 ",525668300
03/17/2020," 12,525.30 "," 13,114.50 "," 12,322.70 "," 12,685.20 "," 12,685.20 ",618745200
03/18/2020," 12,197.70 "," 12,500.00 "," 11,384.10 "," 11,721.40 "," 11,721.40 ",589437000
